+-------------------+-------+------+
| slp name          | depth | size |
+-------------------+-------+------+
| 25x25_0.2_000.slp |   4   |  67  |
| 25x25_0.2_001.slp |   4   |  85  |
| 25x25_0.2_002.slp |   4   |  72  |
| 25x25_0.2_003.slp |   4   |  87  |
| 25x25_0.2_004.slp |   4   |  68  |
| 25x25_0.2_005.slp |   4   |  78  |
| 25x25_0.2_006.slp |   3   |  68  |
| 25x25_0.2_007.slp |   4   |  81  |
| 25x25_0.2_008.slp |   4   |  72  |
| 25x25_0.2_009.slp |   4   |  74  |
| 25x25_0.2_010.slp |   4   |  85  |
| 25x25_0.2_011.slp |   3   |  86  |
| 25x25_0.2_012.slp |   4   |  76  |
| 25x25_0.2_013.slp |   3   |  78  |
| 25x25_0.2_014.slp |   4   |  79  |
| 25x25_0.2_015.slp |   3   |  65  |
| 25x25_0.2_016.slp |   4   |  89  |
| 25x25_0.2_017.slp |   4   |  73  |
| 25x25_0.2_018.slp |   4   |  80  |
| 25x25_0.2_019.slp |   4   |  76  |
| 25x25_0.2_020.slp |   4   |  83  |
| 25x25_0.2_021.slp |   4   |  73  |
| 25x25_0.2_022.slp |   4   |  79  |
| 25x25_0.2_023.slp |   3   |  75  |
| 25x25_0.2_024.slp |   4   |  70  |
| 25x25_0.2_025.slp |   3   |  71  |
| 25x25_0.2_026.slp |   3   |  71  |
| 25x25_0.2_027.slp |   4   |  78  |
| 25x25_0.2_028.slp |   3   |  70  |
| 25x25_0.2_029.slp |   4   |  76  |
| 25x25_0.2_030.slp |   4   |  71  |
| 25x25_0.2_031.slp |   4   |  71  |
| 25x25_0.2_032.slp |   4   |  76  |
| 25x25_0.2_033.slp |   4   |  82  |
| 25x25_0.2_034.slp |   4   |  73  |
| 25x25_0.2_035.slp |   3   |  72  |
| 25x25_0.2_036.slp |   4   |  82  |
| 25x25_0.2_037.slp |   3   |  75  |
| 25x25_0.2_038.slp |   4   |  77  |
| 25x25_0.2_039.slp |   4   |  81  |
| 25x25_0.2_040.slp |   4   |  77  |
| 25x25_0.2_041.slp |   3   |  74  |
| 25x25_0.2_042.slp |   4   |  82  |
| 25x25_0.2_043.slp |   3   |  61  |
| 25x25_0.2_044.slp |   4   |  75  |
| 25x25_0.2_045.slp |   4   |  74  |
| 25x25_0.2_046.slp |   3   |  71  |
| 25x25_0.2_047.slp |   4   |  78  |
| 25x25_0.2_048.slp |   4   |  77  |
| 25x25_0.2_049.slp |   3   |  68  |
| 25x25_0.2_050.slp |   4   |  77  |
| 25x25_0.2_051.slp |   4   |  81  |
| 25x25_0.2_052.slp |   4   |  75  |
| 25x25_0.2_053.slp |   3   |  76  |
| 25x25_0.2_054.slp |   4   |  84  |
| 25x25_0.2_055.slp |   4   |  86  |
| 25x25_0.2_056.slp |   4   |  81  |
| 25x25_0.2_057.slp |   3   |  68  |
| 25x25_0.2_058.slp |   4   |  70  |
| 25x25_0.2_059.slp |   3   |  69  |
| 25x25_0.2_060.slp |   4   |  81  |
| 25x25_0.2_061.slp |   4   |  64  |
| 25x25_0.2_062.slp |   3   |  76  |
| 25x25_0.2_063.slp |   4   |  85  |
| 25x25_0.2_064.slp |   4   |  76  |
| 25x25_0.2_065.slp |   4   |  81  |
| 25x25_0.2_066.slp |   4   |  75  |
| 25x25_0.2_067.slp |   4   |  79  |
| 25x25_0.2_068.slp |   4   |  96  |
| 25x25_0.2_069.slp |   4   |  64  |
| 25x25_0.2_070.slp |   3   |  77  |
| 25x25_0.2_071.slp |   4   |  72  |
| 25x25_0.2_072.slp |   3   |  74  |
| 25x25_0.2_073.slp |   3   |  79  |
| 25x25_0.2_074.slp |   4   |  76  |
| 25x25_0.2_075.slp |   3   |  74  |
| 25x25_0.2_076.slp |   3   |  71  |
| 25x25_0.2_077.slp |   4   |  89  |
| 25x25_0.2_078.slp |   4   |  73  |
| 25x25_0.2_079.slp |   4   |  71  |
| 25x25_0.2_080.slp |   3   |  72  |
| 25x25_0.2_081.slp |   4   |  77  |
| 25x25_0.2_082.slp |   4   |  71  |
| 25x25_0.2_083.slp |   3   |  76  |
| 25x25_0.2_084.slp |   3   |  77  |
| 25x25_0.2_085.slp |   4   |  83  |
| 25x25_0.2_086.slp |   4   |  82  |
| 25x25_0.2_087.slp |   3   |  72  |
| 25x25_0.2_088.slp |   4   |  84  |
| 25x25_0.2_089.slp |   4   |  87  |
| 25x25_0.2_090.slp |   3   |  74  |
| 25x25_0.2_091.slp |   3   |  75  |
| 25x25_0.2_092.slp |   4   |  75  |
| 25x25_0.2_093.slp |   3   |  75  |
| 25x25_0.2_094.slp |   4   |  86  |
| 25x25_0.2_095.slp |   3   |  87  |
| 25x25_0.2_096.slp |   3   |  73  |
| 25x25_0.2_097.slp |   4   |  80  |
| 25x25_0.2_098.slp |   3   |  77  |
| 25x25_0.2_099.slp |   3   |  76  |
+-------------------+-------+------+
