+-------------------+-------+------+
| slp name          | depth | size |
+-------------------+-------+------+
| 25x25_0.8_000.slp |   5   | 163  |
| 25x25_0.8_001.slp |   5   | 154  |
| 25x25_0.8_002.slp |   5   | 166  |
| 25x25_0.8_003.slp |   5   | 163  |
| 25x25_0.8_004.slp |   5   | 168  |
| 25x25_0.8_005.slp |   5   | 149  |
| 25x25_0.8_006.slp |   5   | 152  |
| 25x25_0.8_007.slp |   5   | 149  |
| 25x25_0.8_008.slp |   5   | 160  |
| 25x25_0.8_009.slp |   5   | 155  |
| 25x25_0.8_010.slp |   5   | 168  |
| 25x25_0.8_011.slp |   5   | 164  |
| 25x25_0.8_012.slp |   5   | 155  |
| 25x25_0.8_013.slp |   5   | 148  |
| 25x25_0.8_014.slp |   5   | 165  |
| 25x25_0.8_015.slp |   5   | 159  |
| 25x25_0.8_016.slp |   5   | 162  |
| 25x25_0.8_017.slp |   5   | 166  |
| 25x25_0.8_018.slp |   5   | 167  |
| 25x25_0.8_019.slp |   5   | 156  |
| 25x25_0.8_020.slp |   5   | 169  |
| 25x25_0.8_021.slp |   5   | 154  |
| 25x25_0.8_022.slp |   5   | 157  |
| 25x25_0.8_023.slp |   5   | 165  |
| 25x25_0.8_024.slp |   5   | 154  |
| 25x25_0.8_025.slp |   5   | 160  |
| 25x25_0.8_026.slp |   5   | 146  |
| 25x25_0.8_027.slp |   5   | 150  |
| 25x25_0.8_028.slp |   5   | 162  |
| 25x25_0.8_029.slp |   5   | 166  |
| 25x25_0.8_030.slp |   5   | 157  |
| 25x25_0.8_031.slp |   5   | 161  |
| 25x25_0.8_032.slp |   5   | 151  |
| 25x25_0.8_033.slp |   5   | 164  |
| 25x25_0.8_034.slp |   5   | 166  |
| 25x25_0.8_035.slp |   5   | 148  |
| 25x25_0.8_036.slp |   5   | 155  |
| 25x25_0.8_037.slp |   5   | 166  |
| 25x25_0.8_038.slp |   5   | 160  |
| 25x25_0.8_039.slp |   5   | 160  |
| 25x25_0.8_040.slp |   5   | 168  |
| 25x25_0.8_041.slp |   5   | 151  |
| 25x25_0.8_042.slp |   5   | 163  |
| 25x25_0.8_043.slp |   5   | 153  |
| 25x25_0.8_044.slp |   5   | 166  |
| 25x25_0.8_045.slp |   5   | 155  |
| 25x25_0.8_046.slp |   5   | 168  |
| 25x25_0.8_047.slp |   5   | 161  |
| 25x25_0.8_048.slp |   5   | 164  |
| 25x25_0.8_049.slp |   5   | 166  |
| 25x25_0.8_050.slp |   5   | 164  |
| 25x25_0.8_051.slp |   5   | 162  |
| 25x25_0.8_052.slp |   5   | 152  |
| 25x25_0.8_053.slp |   5   | 165  |
| 25x25_0.8_054.slp |   5   | 158  |
| 25x25_0.8_055.slp |   5   | 155  |
| 25x25_0.8_056.slp |   5   | 168  |
| 25x25_0.8_057.slp |   5   | 158  |
| 25x25_0.8_058.slp |   5   | 149  |
| 25x25_0.8_059.slp |   5   | 163  |
| 25x25_0.8_060.slp |   5   | 156  |
| 25x25_0.8_061.slp |   5   | 166  |
| 25x25_0.8_062.slp |   5   | 159  |
| 25x25_0.8_063.slp |   5   | 147  |
| 25x25_0.8_064.slp |   5   | 162  |
| 25x25_0.8_065.slp |   5   | 160  |
| 25x25_0.8_066.slp |   5   | 167  |
| 25x25_0.8_067.slp |   5   | 154  |
| 25x25_0.8_068.slp |   5   | 162  |
| 25x25_0.8_069.slp |   5   | 154  |
| 25x25_0.8_070.slp |   5   | 168  |
| 25x25_0.8_071.slp |   5   | 151  |
| 25x25_0.8_072.slp |   5   | 175  |
| 25x25_0.8_073.slp |   5   | 154  |
| 25x25_0.8_074.slp |   5   | 156  |
| 25x25_0.8_075.slp |   5   | 144  |
| 25x25_0.8_076.slp |   5   | 159  |
| 25x25_0.8_077.slp |   5   | 146  |
| 25x25_0.8_078.slp |   5   | 162  |
| 25x25_0.8_079.slp |   5   | 161  |
| 25x25_0.8_080.slp |   5   | 156  |
| 25x25_0.8_081.slp |   5   | 151  |
| 25x25_0.8_082.slp |   5   | 164  |
| 25x25_0.8_083.slp |   5   | 161  |
| 25x25_0.8_084.slp |   5   | 155  |
| 25x25_0.8_085.slp |   5   | 156  |
| 25x25_0.8_086.slp |   5   | 166  |
| 25x25_0.8_087.slp |   5   | 150  |
| 25x25_0.8_088.slp |   5   | 160  |
| 25x25_0.8_089.slp |   5   | 166  |
| 25x25_0.8_090.slp |   5   | 169  |
| 25x25_0.8_091.slp |   5   | 157  |
| 25x25_0.8_092.slp |   5   | 157  |
| 25x25_0.8_093.slp |   5   | 163  |
| 25x25_0.8_094.slp |   5   | 141  |
| 25x25_0.8_095.slp |   5   | 154  |
| 25x25_0.8_096.slp |   5   | 149  |
| 25x25_0.8_097.slp |   5   | 154  |
| 25x25_0.8_098.slp |   5   | 148  |
| 25x25_0.8_099.slp |   5   | 157  |
+-------------------+-------+------+
