+-------------------+-------+------+
| slp name          | depth | size |
+-------------------+-------+------+
| 25x25_0.3_000.slp |   4   | 113  |
| 25x25_0.3_001.slp |   4   | 107  |
| 25x25_0.3_002.slp |   4   | 117  |
| 25x25_0.3_003.slp |   4   | 104  |
| 25x25_0.3_004.slp |   4   | 116  |
| 25x25_0.3_005.slp |   4   | 103  |
| 25x25_0.3_006.slp |   4   | 101  |
| 25x25_0.3_007.slp |   4   | 106  |
| 25x25_0.3_008.slp |   4   | 112  |
| 25x25_0.3_009.slp |   4   | 107  |
| 25x25_0.3_010.slp |   4   | 103  |
| 25x25_0.3_011.slp |   4   | 111  |
| 25x25_0.3_012.slp |   4   | 109  |
| 25x25_0.3_013.slp |   4   | 106  |
| 25x25_0.3_014.slp |   4   | 107  |
| 25x25_0.3_015.slp |   4   | 115  |
| 25x25_0.3_016.slp |   4   | 105  |
| 25x25_0.3_017.slp |   4   | 123  |
| 25x25_0.3_018.slp |   4   | 108  |
| 25x25_0.3_019.slp |   4   | 121  |
| 25x25_0.3_020.slp |   4   | 114  |
| 25x25_0.3_021.slp |   4   | 116  |
| 25x25_0.3_022.slp |   4   | 111  |
| 25x25_0.3_023.slp |   4   | 110  |
| 25x25_0.3_024.slp |   4   | 107  |
| 25x25_0.3_025.slp |   4   | 106  |
| 25x25_0.3_026.slp |   4   | 115  |
| 25x25_0.3_027.slp |   4   | 108  |
| 25x25_0.3_028.slp |   4   | 121  |
| 25x25_0.3_029.slp |   4   | 110  |
| 25x25_0.3_030.slp |   4   | 110  |
| 25x25_0.3_031.slp |   4   | 113  |
| 25x25_0.3_032.slp |   4   | 104  |
| 25x25_0.3_033.slp |   4   |  97  |
| 25x25_0.3_034.slp |   4   | 109  |
| 25x25_0.3_035.slp |   4   | 105  |
| 25x25_0.3_036.slp |   4   | 116  |
| 25x25_0.3_037.slp |   4   | 106  |
| 25x25_0.3_038.slp |   4   | 103  |
| 25x25_0.3_039.slp |   4   | 109  |
| 25x25_0.3_040.slp |   4   | 108  |
| 25x25_0.3_041.slp |   4   | 113  |
| 25x25_0.3_042.slp |   4   | 113  |
| 25x25_0.3_043.slp |   4   | 109  |
| 25x25_0.3_044.slp |   4   | 109  |
| 25x25_0.3_045.slp |   4   | 112  |
| 25x25_0.3_046.slp |   4   | 113  |
| 25x25_0.3_047.slp |   4   | 107  |
| 25x25_0.3_048.slp |   4   | 117  |
| 25x25_0.3_049.slp |   4   | 104  |
| 25x25_0.3_050.slp |   4   | 108  |
| 25x25_0.3_051.slp |   4   | 109  |
| 25x25_0.3_052.slp |   4   | 104  |
| 25x25_0.3_053.slp |   4   | 116  |
| 25x25_0.3_054.slp |   4   | 118  |
| 25x25_0.3_055.slp |   4   | 106  |
| 25x25_0.3_056.slp |   4   | 107  |
| 25x25_0.3_057.slp |   4   | 117  |
| 25x25_0.3_058.slp |   4   | 104  |
| 25x25_0.3_059.slp |   4   | 106  |
| 25x25_0.3_060.slp |   4   | 113  |
| 25x25_0.3_061.slp |   4   | 119  |
| 25x25_0.3_062.slp |   4   | 112  |
| 25x25_0.3_063.slp |   4   | 105  |
| 25x25_0.3_064.slp |   4   | 102  |
| 25x25_0.3_065.slp |   4   | 109  |
| 25x25_0.3_066.slp |   4   | 104  |
| 25x25_0.3_067.slp |   4   | 113  |
| 25x25_0.3_068.slp |   4   | 109  |
| 25x25_0.3_069.slp |   4   |  96  |
| 25x25_0.3_070.slp |   4   | 116  |
| 25x25_0.3_071.slp |   4   | 111  |
| 25x25_0.3_072.slp |   4   | 108  |
| 25x25_0.3_073.slp |   4   | 113  |
| 25x25_0.3_074.slp |   4   | 111  |
| 25x25_0.3_075.slp |   4   | 105  |
| 25x25_0.3_076.slp |   4   |  97  |
| 25x25_0.3_077.slp |   4   | 110  |
| 25x25_0.3_078.slp |   4   | 108  |
| 25x25_0.3_079.slp |   4   | 101  |
| 25x25_0.3_080.slp |   4   | 111  |
| 25x25_0.3_081.slp |   4   | 112  |
| 25x25_0.3_082.slp |   4   | 106  |
| 25x25_0.3_083.slp |   4   | 114  |
| 25x25_0.3_084.slp |   4   | 101  |
| 25x25_0.3_085.slp |   4   | 116  |
| 25x25_0.3_086.slp |   4   | 114  |
| 25x25_0.3_087.slp |   4   | 110  |
| 25x25_0.3_088.slp |   4   | 104  |
| 25x25_0.3_089.slp |   4   | 109  |
| 25x25_0.3_090.slp |   4   | 110  |
| 25x25_0.3_091.slp |   4   | 106  |
| 25x25_0.3_092.slp |   4   | 120  |
| 25x25_0.3_093.slp |   4   | 101  |
| 25x25_0.3_094.slp |   4   | 107  |
| 25x25_0.3_095.slp |   4   | 113  |
| 25x25_0.3_096.slp |   4   | 111  |
| 25x25_0.3_097.slp |   4   | 112  |
| 25x25_0.3_098.slp |   4   | 110  |
| 25x25_0.3_099.slp |   4   | 111  |
+-------------------+-------+------+
