+-------------------+-------+------+
| slp name          | depth | size |
+-------------------+-------+------+
| 25x25_0.6_000.slp |   5   | 161  |
| 25x25_0.6_001.slp |   5   | 163  |
| 25x25_0.6_002.slp |   5   | 166  |
| 25x25_0.6_003.slp |   5   | 165  |
| 25x25_0.6_004.slp |   5   | 169  |
| 25x25_0.6_005.slp |   5   | 164  |
| 25x25_0.6_006.slp |   5   | 165  |
| 25x25_0.6_007.slp |   5   | 164  |
| 25x25_0.6_008.slp |   5   | 163  |
| 25x25_0.6_009.slp |   5   | 165  |
| 25x25_0.6_010.slp |   5   | 161  |
| 25x25_0.6_011.slp |   5   | 164  |
| 25x25_0.6_012.slp |   5   | 163  |
| 25x25_0.6_013.slp |   5   | 166  |
| 25x25_0.6_014.slp |   5   | 164  |
| 25x25_0.6_015.slp |   5   | 169  |
| 25x25_0.6_016.slp |   5   | 165  |
| 25x25_0.6_017.slp |   5   | 158  |
| 25x25_0.6_018.slp |   5   | 170  |
| 25x25_0.6_019.slp |   5   | 165  |
| 25x25_0.6_020.slp |   5   | 169  |
| 25x25_0.6_021.slp |   5   | 168  |
| 25x25_0.6_022.slp |   5   | 165  |
| 25x25_0.6_023.slp |   5   | 168  |
| 25x25_0.6_024.slp |   5   | 167  |
| 25x25_0.6_025.slp |   5   | 161  |
| 25x25_0.6_026.slp |   5   | 158  |
| 25x25_0.6_027.slp |   5   | 163  |
| 25x25_0.6_028.slp |   5   | 163  |
| 25x25_0.6_029.slp |   5   | 170  |
| 25x25_0.6_030.slp |   5   | 158  |
| 25x25_0.6_031.slp |   5   | 163  |
| 25x25_0.6_032.slp |   5   | 167  |
| 25x25_0.6_033.slp |   5   | 170  |
| 25x25_0.6_034.slp |   5   | 166  |
| 25x25_0.6_035.slp |   5   | 164  |
| 25x25_0.6_036.slp |   5   | 160  |
| 25x25_0.6_037.slp |   5   | 171  |
| 25x25_0.6_038.slp |   5   | 168  |
| 25x25_0.6_039.slp |   5   | 161  |
| 25x25_0.6_040.slp |   5   | 170  |
| 25x25_0.6_041.slp |   5   | 157  |
| 25x25_0.6_042.slp |   5   | 162  |
| 25x25_0.6_043.slp |   5   | 165  |
| 25x25_0.6_044.slp |   5   | 173  |
| 25x25_0.6_045.slp |   5   | 161  |
| 25x25_0.6_046.slp |   5   | 162  |
| 25x25_0.6_047.slp |   5   | 160  |
| 25x25_0.6_048.slp |   5   | 158  |
| 25x25_0.6_049.slp |   5   | 164  |
| 25x25_0.6_050.slp |   5   | 147  |
| 25x25_0.6_051.slp |   5   | 159  |
| 25x25_0.6_052.slp |   5   | 166  |
| 25x25_0.6_053.slp |   5   | 157  |
| 25x25_0.6_054.slp |   5   | 161  |
| 25x25_0.6_055.slp |   5   | 169  |
| 25x25_0.6_056.slp |   5   | 167  |
| 25x25_0.6_057.slp |   5   | 170  |
| 25x25_0.6_058.slp |   5   | 151  |
| 25x25_0.6_059.slp |   5   | 161  |
| 25x25_0.6_060.slp |   5   | 162  |
| 25x25_0.6_061.slp |   5   | 155  |
| 25x25_0.6_062.slp |   5   | 171  |
| 25x25_0.6_063.slp |   5   | 166  |
| 25x25_0.6_064.slp |   5   | 160  |
| 25x25_0.6_065.slp |   5   | 166  |
| 25x25_0.6_066.slp |   5   | 164  |
| 25x25_0.6_067.slp |   5   | 158  |
| 25x25_0.6_068.slp |   5   | 166  |
| 25x25_0.6_069.slp |   5   | 163  |
| 25x25_0.6_070.slp |   5   | 153  |
| 25x25_0.6_071.slp |   5   | 156  |
| 25x25_0.6_072.slp |   5   | 165  |
| 25x25_0.6_073.slp |   5   | 157  |
| 25x25_0.6_074.slp |   5   | 159  |
| 25x25_0.6_075.slp |   5   | 165  |
| 25x25_0.6_076.slp |   5   | 166  |
| 25x25_0.6_077.slp |   5   | 166  |
| 25x25_0.6_078.slp |   5   | 164  |
| 25x25_0.6_079.slp |   5   | 161  |
| 25x25_0.6_080.slp |   5   | 165  |
| 25x25_0.6_081.slp |   5   | 169  |
| 25x25_0.6_082.slp |   5   | 165  |
| 25x25_0.6_083.slp |   5   | 167  |
| 25x25_0.6_084.slp |   5   | 166  |
| 25x25_0.6_085.slp |   5   | 161  |
| 25x25_0.6_086.slp |   5   | 160  |
| 25x25_0.6_087.slp |   5   | 163  |
| 25x25_0.6_088.slp |   5   | 162  |
| 25x25_0.6_089.slp |   5   | 168  |
| 25x25_0.6_090.slp |   5   | 166  |
| 25x25_0.6_091.slp |   5   | 158  |
| 25x25_0.6_092.slp |   5   | 164  |
| 25x25_0.6_093.slp |   5   | 160  |
| 25x25_0.6_094.slp |   5   | 171  |
| 25x25_0.6_095.slp |   5   | 164  |
| 25x25_0.6_096.slp |   5   | 170  |
| 25x25_0.6_097.slp |   5   | 169  |
| 25x25_0.6_098.slp |   5   | 165  |
| 25x25_0.6_099.slp |   5   | 163  |
+-------------------+-------+------+
