+-------------------+-------+------+
| slp name          | depth | size |
+-------------------+-------+------+
| 25x25_0.6_000.slp |   6   | 153  |
| 25x25_0.6_001.slp |   6   | 154  |
| 25x25_0.6_002.slp |   6   | 147  |
| 25x25_0.6_003.slp |   6   | 151  |
| 25x25_0.6_004.slp |   6   | 150  |
| 25x25_0.6_005.slp |   6   | 150  |
| 25x25_0.6_006.slp |   6   | 150  |
| 25x25_0.6_007.slp |   6   | 140  |
| 25x25_0.6_008.slp |   6   | 152  |
| 25x25_0.6_009.slp |   6   | 148  |
| 25x25_0.6_010.slp |   6   | 148  |
| 25x25_0.6_011.slp |   6   | 145  |
| 25x25_0.6_012.slp |   7   | 141  |
| 25x25_0.6_013.slp |   6   | 151  |
| 25x25_0.6_014.slp |   6   | 150  |
| 25x25_0.6_015.slp |   6   | 147  |
| 25x25_0.6_016.slp |   6   | 146  |
| 25x25_0.6_017.slp |   6   | 146  |
| 25x25_0.6_018.slp |   6   | 151  |
| 25x25_0.6_019.slp |   6   | 149  |
| 25x25_0.6_020.slp |   6   | 150  |
| 25x25_0.6_021.slp |   6   | 152  |
| 25x25_0.6_022.slp |   6   | 148  |
| 25x25_0.6_023.slp |   6   | 155  |
| 25x25_0.6_024.slp |   6   | 145  |
| 25x25_0.6_025.slp |   6   | 151  |
| 25x25_0.6_026.slp |   6   | 149  |
| 25x25_0.6_027.slp |   6   | 153  |
| 25x25_0.6_028.slp |   6   | 151  |
| 25x25_0.6_029.slp |   6   | 152  |
| 25x25_0.6_030.slp |   6   | 144  |
| 25x25_0.6_031.slp |   6   | 141  |
| 25x25_0.6_032.slp |   6   | 151  |
| 25x25_0.6_033.slp |   6   | 157  |
| 25x25_0.6_034.slp |   6   | 151  |
| 25x25_0.6_035.slp |   6   | 153  |
| 25x25_0.6_036.slp |   6   | 145  |
| 25x25_0.6_037.slp |   6   | 153  |
| 25x25_0.6_038.slp |   6   | 155  |
| 25x25_0.6_039.slp |   6   | 149  |
| 25x25_0.6_040.slp |   6   | 157  |
| 25x25_0.6_041.slp |   6   | 146  |
| 25x25_0.6_042.slp |   6   | 146  |
| 25x25_0.6_043.slp |   6   | 151  |
| 25x25_0.6_044.slp |   6   | 153  |
| 25x25_0.6_045.slp |   6   | 152  |
| 25x25_0.6_046.slp |   6   | 148  |
| 25x25_0.6_047.slp |   6   | 140  |
| 25x25_0.6_048.slp |   6   | 147  |
| 25x25_0.6_049.slp |   6   | 151  |
| 25x25_0.6_050.slp |   6   | 146  |
| 25x25_0.6_051.slp |   6   | 149  |
| 25x25_0.6_052.slp |   6   | 151  |
| 25x25_0.6_053.slp |   6   | 149  |
| 25x25_0.6_054.slp |   6   | 148  |
| 25x25_0.6_055.slp |   6   | 152  |
| 25x25_0.6_056.slp |   6   | 149  |
| 25x25_0.6_057.slp |   6   | 156  |
| 25x25_0.6_058.slp |   6   | 142  |
| 25x25_0.6_059.slp |   6   | 147  |
| 25x25_0.6_060.slp |   6   | 150  |
| 25x25_0.6_061.slp |   6   | 141  |
| 25x25_0.6_062.slp |   6   | 147  |
| 25x25_0.6_063.slp |   6   | 153  |
| 25x25_0.6_064.slp |   6   | 145  |
| 25x25_0.6_065.slp |   6   | 146  |
| 25x25_0.6_066.slp |   6   | 154  |
| 25x25_0.6_067.slp |   6   | 143  |
| 25x25_0.6_068.slp |   6   | 150  |
| 25x25_0.6_069.slp |   6   | 149  |
| 25x25_0.6_070.slp |   6   | 141  |
| 25x25_0.6_071.slp |   6   | 139  |
| 25x25_0.6_072.slp |   6   | 147  |
| 25x25_0.6_073.slp |   6   | 148  |
| 25x25_0.6_074.slp |   6   | 145  |
| 25x25_0.6_075.slp |   6   | 147  |
| 25x25_0.6_076.slp |   7   | 145  |
| 25x25_0.6_077.slp |   6   | 145  |
| 25x25_0.6_078.slp |   6   | 147  |
| 25x25_0.6_079.slp |   6   | 143  |
| 25x25_0.6_080.slp |   6   | 148  |
| 25x25_0.6_081.slp |   6   | 149  |
| 25x25_0.6_082.slp |   6   | 143  |
| 25x25_0.6_083.slp |   6   | 154  |
| 25x25_0.6_084.slp |   6   | 153  |
| 25x25_0.6_085.slp |   6   | 145  |
| 25x25_0.6_086.slp |   6   | 146  |
| 25x25_0.6_087.slp |   6   | 145  |
| 25x25_0.6_088.slp |   6   | 154  |
| 25x25_0.6_089.slp |   6   | 154  |
| 25x25_0.6_090.slp |   6   | 145  |
| 25x25_0.6_091.slp |   6   | 151  |
| 25x25_0.6_092.slp |   6   | 149  |
| 25x25_0.6_093.slp |   6   | 149  |
| 25x25_0.6_094.slp |   6   | 154  |
| 25x25_0.6_095.slp |   6   | 146  |
| 25x25_0.6_096.slp |   6   | 153  |
| 25x25_0.6_097.slp |   6   | 147  |
| 25x25_0.6_098.slp |   6   | 146  |
| 25x25_0.6_099.slp |   6   | 147  |
+-------------------+-------+------+
