+-------------------+-------+------+
| slp name          | depth | size |
+-------------------+-------+------+
| 25x25_0.7_000.slp |   6   | 149  |
| 25x25_0.7_001.slp |   6   | 150  |
| 25x25_0.7_002.slp |   6   | 148  |
| 25x25_0.7_003.slp |   6   | 150  |
| 25x25_0.7_004.slp |   7   | 147  |
| 25x25_0.7_005.slp |   6   | 152  |
| 25x25_0.7_006.slp |   6   | 151  |
| 25x25_0.7_007.slp |   6   | 153  |
| 25x25_0.7_008.slp |   6   | 154  |
| 25x25_0.7_009.slp |   6   | 147  |
| 25x25_0.7_010.slp |   6   | 159  |
| 25x25_0.7_011.slp |   6   | 147  |
| 25x25_0.7_012.slp |   6   | 151  |
| 25x25_0.7_013.slp |   6   | 149  |
| 25x25_0.7_014.slp |   6   | 150  |
| 25x25_0.7_015.slp |   6   | 156  |
| 25x25_0.7_016.slp |   6   | 156  |
| 25x25_0.7_017.slp |   7   | 140  |
| 25x25_0.7_018.slp |   6   | 148  |
| 25x25_0.7_019.slp |   6   | 152  |
| 25x25_0.7_020.slp |   6   | 149  |
| 25x25_0.7_021.slp |   6   | 146  |
| 25x25_0.7_022.slp |   7   | 149  |
| 25x25_0.7_023.slp |   6   | 153  |
| 25x25_0.7_024.slp |   6   | 151  |
| 25x25_0.7_025.slp |   6   | 143  |
| 25x25_0.7_026.slp |   6   | 148  |
| 25x25_0.7_027.slp |   6   | 152  |
| 25x25_0.7_028.slp |   6   | 151  |
| 25x25_0.7_029.slp |   7   | 151  |
| 25x25_0.7_030.slp |   6   | 147  |
| 25x25_0.7_031.slp |   7   | 149  |
| 25x25_0.7_032.slp |   6   | 150  |
| 25x25_0.7_033.slp |   6   | 146  |
| 25x25_0.7_034.slp |   6   | 149  |
| 25x25_0.7_035.slp |   6   | 148  |
| 25x25_0.7_036.slp |   6   | 149  |
| 25x25_0.7_037.slp |   6   | 149  |
| 25x25_0.7_038.slp |   7   | 140  |
| 25x25_0.7_039.slp |   6   | 151  |
| 25x25_0.7_040.slp |   7   | 148  |
| 25x25_0.7_041.slp |   6   | 145  |
| 25x25_0.7_042.slp |   6   | 151  |
| 25x25_0.7_043.slp |   6   | 150  |
| 25x25_0.7_044.slp |   7   | 147  |
| 25x25_0.7_045.slp |   6   | 143  |
| 25x25_0.7_046.slp |   6   | 150  |
| 25x25_0.7_047.slp |   6   | 141  |
| 25x25_0.7_048.slp |   6   | 145  |
| 25x25_0.7_049.slp |   6   | 155  |
| 25x25_0.7_050.slp |   6   | 146  |
| 25x25_0.7_051.slp |   6   | 147  |
| 25x25_0.7_052.slp |   6   | 144  |
| 25x25_0.7_053.slp |   6   | 151  |
| 25x25_0.7_054.slp |   6   | 153  |
| 25x25_0.7_055.slp |   6   | 149  |
| 25x25_0.7_056.slp |   7   | 146  |
| 25x25_0.7_057.slp |   6   | 144  |
| 25x25_0.7_058.slp |   6   | 151  |
| 25x25_0.7_059.slp |   7   | 156  |
| 25x25_0.7_060.slp |   7   | 157  |
| 25x25_0.7_061.slp |   6   | 150  |
| 25x25_0.7_062.slp |   6   | 144  |
| 25x25_0.7_063.slp |   6   | 148  |
| 25x25_0.7_064.slp |   6   | 147  |
| 25x25_0.7_065.slp |   6   | 146  |
| 25x25_0.7_066.slp |   6   | 148  |
| 25x25_0.7_067.slp |   6   | 150  |
| 25x25_0.7_068.slp |   7   | 156  |
| 25x25_0.7_069.slp |   6   | 143  |
| 25x25_0.7_070.slp |   6   | 154  |
| 25x25_0.7_071.slp |   6   | 153  |
| 25x25_0.7_072.slp |   6   | 145  |
| 25x25_0.7_073.slp |   6   | 146  |
| 25x25_0.7_074.slp |   6   | 149  |
| 25x25_0.7_075.slp |   7   | 145  |
| 25x25_0.7_076.slp |   6   | 154  |
| 25x25_0.7_077.slp |   6   | 151  |
| 25x25_0.7_078.slp |   6   | 151  |
| 25x25_0.7_079.slp |   7   | 147  |
| 25x25_0.7_080.slp |   6   | 154  |
| 25x25_0.7_081.slp |   6   | 150  |
| 25x25_0.7_082.slp |   6   | 154  |
| 25x25_0.7_083.slp |   6   | 145  |
| 25x25_0.7_084.slp |   6   | 152  |
| 25x25_0.7_085.slp |   6   | 143  |
| 25x25_0.7_086.slp |   6   | 158  |
| 25x25_0.7_087.slp |   6   | 153  |
| 25x25_0.7_088.slp |   6   | 151  |
| 25x25_0.7_089.slp |   6   | 141  |
| 25x25_0.7_090.slp |   6   | 146  |
| 25x25_0.7_091.slp |   6   | 149  |
| 25x25_0.7_092.slp |   6   | 151  |
| 25x25_0.7_093.slp |   6   | 157  |
| 25x25_0.7_094.slp |   7   | 148  |
| 25x25_0.7_095.slp |   6   | 148  |
| 25x25_0.7_096.slp |   6   | 148  |
| 25x25_0.7_097.slp |   6   | 153  |
| 25x25_0.7_098.slp |   6   | 146  |
| 25x25_0.7_099.slp |   6   | 146  |
+-------------------+-------+------+
